,leading_edge,infiltrating_tumor,cellular_tumor,vascular,necrosis,perinecrotic
298321880_ISH_CCL2.jpg,0.00701,0.03926,0.07302,0.38766,0.0263,0.12525
310008774_ISH_CCL2.jpg,0.0,0.0,0.54649,0.75988,0.01562,0.67239
310008780_ISH_CCL2.jpg,0.37313,0.0,0.46925,0.65812,0.02466,0.28646
310008789_ISH_CCL2.jpg,0.0,0.01477,0.05095,0.06608,0.0369,0.0601
310008792_ISH_CCL2.jpg,0.01609,0.00541,0.46901,0.88782,0.0,0.0
310008795_ISH_CCL2.jpg,0.0,0.0,0.356,0.09926,0.0435,0.21585
310008812_ISH_CCL2.jpg,0.0,0.01976,0.04799,0.10334,0.03,0.07096
310008821_ISH_CCL2.jpg,0.0,0.0,0.17695,0.25786,0.01666,0.27885
310008838_ISH_CCL2.jpg,0.00595,0.0,0.15504,0.17573,0.04248,0.10217
310361035_ISH_CCL2.jpg,0.0,0.0,0.10692,0.0,0.00945,0.05242
310361045_ISH_CCL2.jpg,2.06897,0.0,0.93352,0.0,0.05906,0.41067
310361051_ISH_CCL2.jpg,1.55039,0.0,0.51054,0.87595,0.05308,0.7415
310361054_ISH_CCL2.jpg,0.0,0.0,0.66611,0.0,0.23703,0.68681
310361075_ISH_CCL2.jpg,0.0,0.09564,1.12486,1.2884,0.07263,0.63242
310361080_ISH_CCL2.jpg,0.5618,0.0,1.00676,1.00495,0.07227,0.79498
310361088_ISH_CCL2.jpg,0.0,0.03436,0.12349,1.149,0.05299,0.68592
