,leading_edge,infiltrating_tumor,cellular_tumor,vascular,necrosis,perinecrotic
264628980_ISH_CD44.jpg,14.28571,0.0,3.71448,4.11364,2.82931,3.91127
264714412_ISH_CD44.jpg,0.0,0.0,3.34987,0.0,0.0,0.0
264892971_ISH_CD44.jpg,0.0,0.0,5.53079,8.10941,4.65512,7.21703
267057610_ISH_CD44.jpg,0.08726,0.0,4.86053,0.0,0.61603,2.85594
267057674_ISH_CD44.jpg,0.14662,0.64877,0.73215,1.41924,0.28571,0.89477
267057680_ISH_CD44.jpg,0.21191,0.60493,1.16919,1.02354,0.27896,0.67167
267060313_ISH_CD44.jpg,0.0,0.34604,0.84606,0.42212,0.0,0.0
267499913_ISH_CD44.jpg,0.0,3.1462,2.31656,10.0,0.40726,1.44958
267499974_ISH_CD44.jpg,0.0,0.0,0.73734,0.0,0.9551,1.0042
267499982_ISH_CD44.jpg,0.0,0.0,1.76733,0.0,0.12496,1.33227
267499996_ISH_CD44.jpg,0.0,0.28793,1.11459,0.0,0.0,0.0
267548623_ISH_CD44.jpg,4.41176,0.0,3.31382,0.0,1.50461,2.60207
267553223_ISH_CD44.jpg,1.34228,1.14356,2.02065,2.25064,1.25494,3.08736
267553241_ISH_CD44.jpg,0.0,0.0,4.05089,4.2855,0.0162,1.801
268000560_ISH_CD44.jpg,3.125,0.0,3.35078,0.0,2.05666,1.94119
268416299_ISH_CD44.jpg,0.0,0.71709,3.73586,4.46615,0.0,0.0
272887684_ISH_CD44.jpg,0.42971,0.58149,2.53707,1.46351,0.70875,2.15619
272982086_ISH_CD44.jpg,4.16667,0.0,8.10289,0.0,1.05994,6.44832
272984873_ISH_CD44.jpg,0.0,0.0,2.63801,3.95398,3.59867,2.37534
272986199_ISH_CD44.jpg,5.26316,0.0,3.44056,4.80834,1.60392,0.0
278098706_ISH_CD44.jpg,0.0,2.30401,4.15197,5.83982,0.0,0.0
278103737_ISH_CD44.jpg,0.61408,0.39287,0.96553,0.0,0.0,0.0
278438921_ISH_CD44.jpg,8.33333,0.0,7.32892,0.0,0.52506,4.49877
278502165_ISH_CD44.jpg,0.46683,2.57002,5.01743,2.44405,1.33229,1.98794
281857499_ISH_CD44.jpg,0.0,0.0,3.19454,4.94039,2.46582,5.08256
285041111_ISH_CD44.jpg,0.66716,0.12002,0.0,0.0,0.0,0.0
286570454_ISH_CD44.jpg,0.0,0.59108,0.0,1.17994,1.00769,0.0
286730021_ISH_CD44.jpg,0.09469,0.4905,3.01367,0.0,1.08979,2.75434
286730209_ISH_CD44.jpg,1.0,0.0,2.83266,2.85052,1.36524,4.07237
286737220_ISH_CD44.jpg,3.01887,0.0,5.46831,0.0,1.17654,4.40636
286737226_ISH_CD44.jpg,0.0,0.0,3.31017,0.0,3.05392,4.79452
287111193_ISH_CD44.jpg,3.07329,1.77721,2.75284,4.57985,2.19065,0.0
287117247_ISH_CD44.jpg,0.0,2.85714,0.49388,2.03567,0.47137,0.36337
287117366_ISH_CD44.jpg,1.03093,0.35899,2.45818,0.0,0.19105,2.04778
287543647_ISH_CD44.jpg,0.2349,0.70044,4.72966,1.65822,0.08996,0.0
287637057_ISH_CD44.jpg,0.36481,0.11511,0.0,0.0,0.0,0.0
287815690_ISH_CD44.jpg,0.0,0.49005,0.75715,0.0,0.85983,0.94851
287815700_ISH_CD44.jpg,0.0,0.64927,0.69804,3.33333,0.8588,0.97311
288073178_ISH_CD44.jpg,0.03431,0.20267,0.26118,0.0,0.1489,0.20351
288269040_ISH_CD44.jpg,0.0,2.97466,4.49615,0.0,1.99925,4.9157
292829419_ISH_CD44.jpg,0.0,0.0,0.12456,0.0,0.0,0.0
293252106_ISH_CD44.jpg,0.32067,1.65896,3.25089,0.0,0.69637,1.9123
293487616_ISH_CD44.jpg,0.0,0.0,1.02616,1.17798,0.31294,0.70788
293492014_ISH_CD44.jpg,8.33333,0.08526,3.8227,2.56074,0.44718,3.01843
293590603_ISH_CD44.jpg,0.0,0.0,1.58751,3.65276,0.0,0.0
706741_ISH_CD44.jpg,6.30252,0.0,7.39774,0.0,2.5187,7.02686
706764_ISH_CD44.jpg,1.16279,0.0,1.66466,1.67179,1.89484,3.1096
706836_ISH_CD44.jpg,0.1431,1.03946,4.68295,5.87205,3.97135,6.73962
706837_ISH_CD44.jpg,0.09856,0.53307,3.62363,4.48395,3.80287,4.95636
712644_ISH_CD44.jpg,0.43259,0.61547,5.10585,0.0,0.0,0.0
