,leading_edge,infiltrating_tumor,cellular_tumor,vascular,necrosis,perinecrotic
264628980_ISH_CD44.jpg,0.0,0.0,1.98845,2.3685,1.59717,2.22435
264714412_ISH_CD44.jpg,0.0,0.0,1.47469,0.0,0.0,0.0
264892971_ISH_CD44.jpg,0.0,0.0,3.4522,3.48218,1.93407,2.88856
267057610_ISH_CD44.jpg,0.03685,0.0,1.17333,0.0,0.12804,0.45191
267057674_ISH_CD44.jpg,0.06802,0.22963,0.28311,0.53174,0.10843,0.34633
267057680_ISH_CD44.jpg,0.09695,0.22545,0.46263,0.37655,0.13087,0.26594
267060313_ISH_CD44.jpg,0.0,0.17152,0.34824,0.20597,0.0,0.0
267499913_ISH_CD44.jpg,0.0,1.15581,1.08329,10.0,0.14408,0.53867
267499974_ISH_CD44.jpg,0.0,0.0,0.39116,0.0,0.58658,0.57304
267499982_ISH_CD44.jpg,0.0,0.0,0.78314,0.0,0.06273,0.53642
267499996_ISH_CD44.jpg,0.0,0.10898,0.43864,0.0,0.0,0.0
267548623_ISH_CD44.jpg,0.0,0.0,1.30101,0.0,0.59645,0.97197
267553223_ISH_CD44.jpg,0.0,0.49141,0.84586,0.83596,0.3977,1.08912
267553241_ISH_CD44.jpg,0.0,0.0,1.41165,1.46062,0.00881,0.7346
268000560_ISH_CD44.jpg,1.04167,0.0,1.63845,0.0,0.89154,0.90974
268416299_ISH_CD44.jpg,0.0,0.33838,1.48604,1.19534,0.0,0.0
272887684_ISH_CD44.jpg,0.21014,0.27716,1.20823,0.52445,0.29475,0.9645
272982086_ISH_CD44.jpg,2.77778,0.0,4.23962,0.0,0.40048,2.9787
272984873_ISH_CD44.jpg,0.0,0.0,1.49202,1.63109,1.30788,1.27246
272986199_ISH_CD44.jpg,2.63158,0.0,1.88598,2.3213,0.61191,0.0
278098706_ISH_CD44.jpg,0.0,0.97748,1.51224,1.75289,0.0,0.0
278103737_ISH_CD44.jpg,0.27864,0.16939,0.334,0.0,0.0,0.0
278438921_ISH_CD44.jpg,8.33333,0.0,2.13853,0.0,0.18442,1.29075
278502165_ISH_CD44.jpg,0.18768,1.07118,2.3687,1.11386,0.36836,0.46956
281857499_ISH_CD44.jpg,0.0,0.0,1.77691,2.4754,0.98156,2.53252
285041111_ISH_CD44.jpg,0.23642,0.05254,0.0,0.0,0.0,0.0
286570454_ISH_CD44.jpg,0.0,0.13017,0.0,0.26101,0.16445,0.0
286730021_ISH_CD44.jpg,0.02528,0.11322,1.1192,0.0,0.4238,1.06297
286730209_ISH_CD44.jpg,0.0,0.0,1.67699,1.64271,0.79535,2.45918
286737220_ISH_CD44.jpg,1.88679,0.0,3.35556,0.0,0.64099,2.58382
286737226_ISH_CD44.jpg,0.0,0.0,1.92798,0.0,1.82642,2.90173
287111193_ISH_CD44.jpg,1.53664,0.45008,0.89767,0.99462,0.43834,0.0
287117247_ISH_CD44.jpg,0.0,0.0,0.14909,0.64515,0.14296,0.11364
287117366_ISH_CD44.jpg,0.0,0.1042,0.65189,0.0,0.05554,0.53261
287543647_ISH_CD44.jpg,0.09921,0.33363,2.21034,0.79841,0.03429,0.0
287637057_ISH_CD44.jpg,0.15388,0.04667,0.0,0.0,0.0,0.0
287815690_ISH_CD44.jpg,0.0,0.2024,0.32339,0.0,0.33941,0.36926
287815700_ISH_CD44.jpg,0.0,0.33226,0.35872,0.0,0.32532,0.39077
288073178_ISH_CD44.jpg,0.01062,0.05809,0.11674,0.0,0.0549,0.08779
288269040_ISH_CD44.jpg,0.0,1.01129,1.96976,0.0,0.53046,1.20935
292829419_ISH_CD44.jpg,0.0,0.0,0.0697,0.0,0.0,0.0
293252106_ISH_CD44.jpg,0.1342,0.49761,0.86716,0.0,0.27812,0.53581
293487616_ISH_CD44.jpg,0.0,0.0,0.22178,0.26793,0.07676,0.15771
293492014_ISH_CD44.jpg,8.33333,0.03012,2.17033,1.20059,0.22375,1.4525
293590603_ISH_CD44.jpg,0.0,0.0,0.41199,1.04175,0.0,0.0
706741_ISH_CD44.jpg,3.36134,0.0,3.51011,0.0,0.82096,2.41263
706764_ISH_CD44.jpg,0.0,0.0,0.81032,0.59581,0.50715,1.05444
706836_ISH_CD44.jpg,0.06584,0.36203,2.68302,2.9249,1.91563,3.48391
706837_ISH_CD44.jpg,0.04858,0.22183,2.01667,2.24387,1.86633,2.61275
712644_ISH_CD44.jpg,0.11838,0.18752,1.84567,0.0,0.0,0.0
