,leading_edge,infiltrating_tumor,cellular_tumor,vascular,necrosis,perinecrotic
264628980_ISH_CD44.jpg,0.0,0.0,1.98437,2.29996,3.83562,3.15857
264714412_ISH_CD44.jpg,0.0,0.0,9.79763,0.0,0.0,0.0
264892971_ISH_CD44.jpg,20.0,0.0,5.96178,15.699,8.23454,11.38422
267057610_ISH_CD44.jpg,0.93616,0.0,9.5089,0.0,1.8544,5.44189
267057674_ISH_CD44.jpg,0.73069,1.14542,1.42252,2.51221,0.60643,1.65156
267057680_ISH_CD44.jpg,1.05594,1.20209,2.43724,3.57349,0.78987,1.96119
267060313_ISH_CD44.jpg,0.0,1.48716,4.6548,2.25846,0.0,0.0
267499913_ISH_CD44.jpg,0.0,9.96468,6.40616,0.0,2.07299,4.47028
267499974_ISH_CD44.jpg,0.0,0.0,1.92333,0.0,4.55477,3.82145
267499982_ISH_CD44.jpg,0.0,0.0,3.8431,0.0,0.84664,4.56985
267499996_ISH_CD44.jpg,0.0,0.70369,1.9847,7.69231,0.0,0.0
267548623_ISH_CD44.jpg,8.82353,0.0,5.27765,0.0,2.8707,4.71691
267553223_ISH_CD44.jpg,4.69799,2.88134,4.54154,5.53907,3.83874,6.94733
267553241_ISH_CD44.jpg,0.76923,0.0,10.05739,10.6413,1.23552,6.58385
268000560_ISH_CD44.jpg,2.08333,0.0,5.97732,0.0,4.46487,4.52423
268416299_ISH_CD44.jpg,0.0,1.84053,9.71549,5.7576,0.0,0.0
272887684_ISH_CD44.jpg,2.60303,3.2852,6.82156,5.52295,5.01562,6.55016
272982086_ISH_CD44.jpg,2.77778,0.0,7.67418,0.0,3.6153,7.9762
272984873_ISH_CD44.jpg,13.95349,0.0,2.77255,10.60611,6.80299,3.46665
272986199_ISH_CD44.jpg,5.26316,0.0,7.1561,11.60678,3.77061,0.0
278098706_ISH_CD44.jpg,0.0,3.92359,5.03351,6.09144,0.0,0.0
278103737_ISH_CD44.jpg,2.47308,1.69698,2.21486,0.0,0.0,0.0
278438921_ISH_CD44.jpg,0.0,0.0,13.96704,0.0,2.27085,7.25625
278502165_ISH_CD44.jpg,1.53737,5.20143,7.35419,4.62379,4.06602,4.85937
281857499_ISH_CD44.jpg,0.0,0.0,2.76629,5.24862,3.72933,4.91833
285041111_ISH_CD44.jpg,1.8558,0.54941,0.0,0.0,0.0,0.0
286570454_ISH_CD44.jpg,0.0,1.1433,0.0,2.31345,2.11183,0.0
286730021_ISH_CD44.jpg,0.34118,1.18651,6.47484,0.0,2.32525,5.76955
286730209_ISH_CD44.jpg,3.0,0.0,1.78038,3.43978,1.4713,2.91027
286737220_ISH_CD44.jpg,1.88679,0.0,3.406,0.0,1.45436,3.11613
286737226_ISH_CD44.jpg,0.0,0.0,1.72378,0.0,3.88441,2.77859
287111193_ISH_CD44.jpg,7.91962,5.01619,10.17355,9.73669,7.23879,33.33333
287117247_ISH_CD44.jpg,5.26316,0.0,1.75486,4.13552,1.66551,1.43923
287117366_ISH_CD44.jpg,4.12371,1.3112,5.68009,0.0,1.0558,6.787
287543647_ISH_CD44.jpg,1.19344,3.04045,5.42124,5.17745,0.81856,0.0
287637057_ISH_CD44.jpg,2.46374,1.15854,0.0,0.0,0.0,0.0
287815690_ISH_CD44.jpg,16.66667,1.6766,2.36519,0.0,2.39232,2.64881
287815700_ISH_CD44.jpg,0.0,1.81116,2.06308,0.0,2.57421,3.29331
288073178_ISH_CD44.jpg,0.34127,0.58127,0.57572,0.0,0.66599,0.5465
288269040_ISH_CD44.jpg,33.33333,5.79995,8.79328,21.42857,4.76734,11.08633
292829419_ISH_CD44.jpg,0.0,0.0,1.02298,0.0,0.0,0.0
293252106_ISH_CD44.jpg,1.78162,4.82564,9.06394,0.0,4.64255,6.93071
293487616_ISH_CD44.jpg,0.0,0.0,2.75311,3.00329,0.97018,2.08543
293492014_ISH_CD44.jpg,0.0,0.62228,4.03617,4.14159,1.138,4.01185
293590603_ISH_CD44.jpg,0.0,0.0,3.87049,7.81098,0.0,0.0
706741_ISH_CD44.jpg,13.02521,0.0,11.96303,0.0,7.36431,10.63321
706764_ISH_CD44.jpg,10.46512,0.0,5.53863,7.34158,6.46825,10.08228
706836_ISH_CD44.jpg,0.58542,4.00128,5.63055,8.65292,5.36,7.78177
706837_ISH_CD44.jpg,0.52468,1.13372,3.08395,6.62828,5.19208,5.0293
712644_ISH_CD44.jpg,1.01956,1.35071,7.06472,0.0,0.0,0.0
