,leading_edge,infiltrating_tumor,cellular_tumor,vascular,necrosis,perinecrotic
298128003_ISH_KLF6.jpg,2.85714,0.0,1.75748,1.88182,0.17118,1.97544
298129862_ISH_KLF6.jpg,0.0,0.0,2.00335,1.49099,0.08476,0.74231
298804659_ISH_KLF6.jpg,0.16539,0.0,2.83267,3.34298,0.81372,3.15123
308886351_ISH_KLF6.jpg,0.16029,0.18175,1.16888,1.93973,0.14756,1.51124
308886577_ISH_KLF6.jpg,8.62069,0.3192,5.15596,3.96998,0.41165,3.21759
308890823_ISH_KLF6.jpg,0.0,0.0,2.32303,2.16636,0.27386,1.20872
308892529_ISH_KLF6.jpg,0.0,0.0,1.10407,2.46306,0.19863,0.81711
308896537_ISH_KLF6.jpg,1.98675,0.0,1.65117,2.2945,1.07044,1.95964
308911123_ISH_KLF6.jpg,3.77358,0.7613,4.05921,0.0,1.07102,3.55704
308913276_ISH_KLF6.jpg,0.0,12.5,1.5411,2.13975,0.659,1.18749
308914980_ISH_KLF6.jpg,0.19306,0.0,3.0273,1.98351,0.15068,2.27839
308928928_ISH_KLF6.jpg,0.27477,1.53618,4.14259,4.24004,1.16208,3.43784
308929245_ISH_KLF6.jpg,0.0,0.0,2.19531,1.52667,0.05387,1.3194
308929283_ISH_KLF6.jpg,0.0,0.0,3.49944,3.7196,1.32908,3.69617
308929357_ISH_KLF6.jpg,1.96078,0.0,2.90385,2.02421,0.61462,2.23391
308929423_ISH_KLF6.jpg,2.12766,0.0,3.91806,2.46126,0.32475,1.88675
308929586_ISH_KLF6.jpg,0.18685,0.10596,1.80503,2.75102,1.0941,1.96536
308929734_ISH_KLF6.jpg,1.37392,1.86436,2.44246,12.5,0.16775,1.32057
308929753_ISH_KLF6.jpg,2.0979,0.0,1.89597,0.0,0.68826,1.79956
308929798_ISH_KLF6.jpg,0.0,0.0,2.23244,1.71917,0.65323,1.82587
308929814_ISH_KLF6.jpg,0.3332,14.28571,3.22796,3.7568,0.41829,3.8374
308929980_ISH_KLF6.jpg,0.40627,0.0,2.42042,2.15595,0.55235,1.52843
308930118_ISH_KLF6.jpg,0.0,0.0,3.89785,3.73759,0.83261,3.67137
309696624_ISH_KLF6.jpg,0.0,0.0,5.03534,4.33977,1.59173,4.22851
