,leading_edge,infiltrating_tumor,cellular_tumor,vascular,necrosis,perinecrotic
264628874_ISH_NDRG4.jpg,4.87805,0.0,7.41624,0.0,2.2849,6.78181
264628992_ISH_NDRG4.jpg,0.0,0.0,5.12123,3.83861,2.25741,4.26939
264632668_ISH_NDRG4.jpg,0.0,0.0,6.60462,3.57901,0.0,0.0
264632716_ISH_NDRG4.jpg,6.25,0.0,4.81022,3.5167,2.6121,3.6892
264633236_ISH_NDRG4.jpg,0.69901,0.0,4.44059,4.28755,2.67008,4.23506
264633814_ISH_NDRG4.jpg,4.34783,0.0,4.40691,1.31244,0.41623,2.53067
264634432_ISH_NDRG4.jpg,2.91262,0.0,6.9744,0.0,1.82833,4.24434
264634609_ISH_NDRG4.jpg,1.29032,2.13556,4.92199,3.75439,0.38192,3.07612
264711879_ISH_NDRG4.jpg,0.95283,0.22821,0.0,0.0,0.0,0.0
264712097_ISH_NDRG4.jpg,1.75439,0.57463,1.79947,2.49968,0.07754,0.83807
264712751_ISH_NDRG4.jpg,1.09204,0.21799,2.32189,0.0,1.35039,2.60742
264713835_ISH_NDRG4.jpg,0.0,1.35605,1.24486,0.96504,0.26992,0.81343
264714221_ISH_NDRG4.jpg,0.0,0.45293,6.53141,1.4515,0.36236,3.89115
264714366_ISH_NDRG4.jpg,0.0,0.0,2.38039,3.10807,0.88021,1.31433
264714422_ISH_NDRG4.jpg,0.0,0.0,2.04573,0.0,0.0,0.0
264714604_ISH_NDRG4.jpg,0.0,0.0,2.94359,0.0,0.0,0.0
264892914_ISH_NDRG4.jpg,1.13699,2.41022,5.55964,5.27578,0.22493,3.72782
264893107_ISH_NDRG4.jpg,0.0,0.0,3.42368,2.70111,0.92517,1.50222
264893140_ISH_NDRG4.jpg,0.0,0.0,6.33379,0.0,0.0,0.0
264893299_ISH_NDRG4.jpg,1.73035,2.86391,8.71264,5.7094,0.26907,6.48728
264960321_ISH_NDRG4.jpg,0.84034,0.0,3.13142,0.45057,0.3352,1.43269
264960879_ISH_NDRG4.jpg,0.0,0.0,2.41622,1.14658,0.04947,1.29901
264963795_ISH_NDRG4.jpg,1.84476,0.13025,3.46713,2.83997,0.37546,1.10988
264967627_ISH_NDRG4.jpg,0.0,0.0,3.07097,0.0,0.0,0.0
