,leading_edge,infiltrating_tumor,cellular_tumor,vascular,necrosis,perinecrotic
298804416_ISH_OCIAD2.jpg,0.02893,0.15334,0.45234,0.32542,0.23618,0.44353
310493016_ISH_OCIAD2.jpg,0.0,0.0,0.49345,0.0,0.35123,0.52065
310493025_ISH_OCIAD2.jpg,0.0,0.23356,1.90599,3.18914,0.54412,1.60952
310493030_ISH_OCIAD2.jpg,0.0,0.0547,0.1294,0.0,0.13309,0.27384
310493232_ISH_OCIAD2.jpg,0.08557,0.22695,1.70206,0.62915,0.12437,0.6182
310495235_ISH_OCIAD2.jpg,0.0,0.02397,0.02309,0.0,0.0,0.0
310497400_ISH_OCIAD2.jpg,0.1774,0.06162,0.75991,0.67631,0.17534,0.62595
310497487_ISH_OCIAD2.jpg,0.02833,0.03482,0.13316,0.0,0.0,0.0
310497578_ISH_OCIAD2.jpg,0.0,0.0,1.78412,0.0,0.15623,1.40539
310607282_ISH_OCIAD2.jpg,0.0,0.38257,1.49758,0.0,0.0,0.0
310607287_ISH_OCIAD2.jpg,1.47929,0.0,2.1583,0.0,0.18557,1.99182
310607296_ISH_OCIAD2.jpg,0.0,0.0,0.04413,0.0,0.0291,0.05041
310607442_ISH_OCIAD2.jpg,11.11111,0.09773,1.3018,0.0,1.69409,1.89997
310607655_ISH_OCIAD2.jpg,0.02042,0.27822,1.01009,1.11119,0.25818,1.09016
310607934_ISH_OCIAD2.jpg,0.0,0.48238,1.168,0.0,0.09486,0.81764
310608279_ISH_OCIAD2.jpg,0.0,0.12778,0.06036,0.0,0.03056,0.02897
